2021-02-09 13:10:55.876		CAN-FD	0	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:56.348		CAN-FD	4	Rx	99999999  	8	06 50 03 00 64 01 F4 55                 	Instrumentation | Response | Instrumentation response_14DA45F1

Test case 4 verdict: Passed

2021-02-09 13:10:56.349		CAN-FD	5	Tx	28C       	1	80                                      	CAN_FD_raw_frame_invalid_frame | ID5_80_based_pattern_data | _14DA45F1
2021-02-09 13:10:56.453		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Instrumentation after | Instrumentation request_14DA45F1
2021-02-09 13:10:56.560		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:56.661		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:56.763		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:56.864		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:56.964		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:57.066		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:57.167		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:57.268		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:57.369		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:57.471		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:57.572		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:57.674		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:57.774		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:57.876		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:57.977		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:58.078		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:58.179		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:58.280		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:58.382		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:58.484		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:58.587		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:58.688		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:58.789		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:58.890		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:58.991		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:59.091		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:59.193		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:59.293		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:59.394		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:59.496		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:59.596		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:59.697		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:59.800		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:10:59.902		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:00.002		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:00.103		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:00.205		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:00.305		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:00.407		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:00.507		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:00.608		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:00.709		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:00.810		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:00.911		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:01.012		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:01.113		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:01.215		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:01.316		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:01.417		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:01.518		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:01.619		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:01.720		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:01.821		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:01.922		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:02.023		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:02.124		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:02.225		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:02.326		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:02.427		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:02.528		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:02.630		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:02.731		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:02.833		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:02.934		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:03.035		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:03.136		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:03.238		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:03.339		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:03.440		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:03.541		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:03.642		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:03.743		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:03.844		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:03.945		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:04.046		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:04.147		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:04.249		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:04.350		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:04.451		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:04.552		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:04.653		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:04.753		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:04.854		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:04.956		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:05.057		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:05.158		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:05.259		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:05.359		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:05.460		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:05.560		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:05.661		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:05.763		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:05.864		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:05.966		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:06.066		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:06.167		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:06.269		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:06.370		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:06.471		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:06.612 EXTERNAL_PC: Executing power cycle on a stuck instrumentation, instrumentation round 100. Powering off DuT and waiting for 5 seconds to boot down.
2021-02-09 13:11:11.612 EXTERNAL_PC: Powering on DuT and sleeping for additional 5 seconds to allow DuT to boot up.
2021-02-09 13:11:16.628		CAN-FD	5	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:16.637		CAN-FD	5	Rx	99999999  	8	06 50 03 00 64 01 F4 55                 	Instrumentation | Response | Instrumentation response_14DA45F1
// Wow, that took a while to power cycle
Test case 5 verdict: Failed

2021-02-09 13:11:16.750		CAN-FD	6	Tx	28C       	1	10                                      	CAN_FD_raw_frame_invalid_frame | ID6_pseudo_random_pattern_data | _14DA45F1
2021-02-09 13:11:16.851		CAN-FD	6	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Instrumentation after | Instrumentation request_14DA45F1
2021-02-09 13:11:16.857		CAN-FD	6	Rx	99999999  	8	06 50 03 00 64 01 F4 55                 	Instrumentation | Response | Instrumentation response_14DA45F1

Test case 6 verdict: Passed

2021-02-09 13:11:16.860		CAN-FD	7	Tx	28C       	1	50                                      	CAN_FD_raw_frame_invalid_frame | ID7_cyclic_msg_rate_50_ms | _14DA45F1
2021-02-09 13:11:16.861		CAN-FD	7	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Instrumentation after | Instrumentation request_14DA45F1
2021-02-09 13:11:16.867		CAN-FD	7	Rx	99999999  	8	06 50 03 00 64 01 F4 55                 	Instrumentation | Response | Instrumentation response_14DA45F1

Test case 7 verdict: Passed

2021-02-09 13:11:16.911		CAN-FD	8	Tx	28C       	1	4C                                      	CAN_FD_raw_frame_invalid_frame | ID8_cyclic_msg_rate_50_ms | _14DA45F1
2021-02-09 13:11:16.912		CAN-FD	8	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Instrumentation after | Instrumentation request_14DA45F1
2021-02-09 13:11:16.917		CAN-FD	8	Rx	99999999  	8	06 50 03 00 64 01 F4 55                 	Instrumentation | Response | Instrumentation response_14DA45F1

Test case 8 verdict: Passed

2021-02-09 13:11:16.962		CAN-FD	9	Tx	28C       	1	18                                      	CAN_FD_raw_frame_invalid_frame | ID9_cyclic_msg_rate_50_ms | _14DA45F1
2021-02-09 13:11:16.963		CAN-FD	9	Tx	11111111  	8	02 10 03 00 00 00 00 00                 	Instrumentation | Instrumentation after | Instrumentation request_14DA45F1
2021-02-09 13:11:16.967		CAN-FD	9	Rx	99999999  	8	06 50 03 00 64 01 F4 55                 	Instrumentation | Response | Instrumentation response_14DA45F1

Test case 9 verdict: Passed

2021-02-09 13:11:17.013		CAN-FD	10	Tx	28C       	1	58                                     	CAN_FD_raw_frame_invalid_frame | ID10_cyclic_msg_rate_50_ms | _14DA45F1
2021-02-09 13:11:17.013		CAN-FD	10	Tx	11111111  	8	02 10 03 00 00 00 00 00                	Instrumentation | Instrumentation after | Instrumentation request_14DA45F1
2021-02-09 13:11:17.017		CAN-FD	10	Rx	99999999  	8	06 50 03 00 64 01 F4 55                	Instrumentation | Response | Instrumentation response_14DA45F1

Test case 10 verdict: Passed

2021-02-09 13:11:17.063		CAN-FD	11	Tx	28C       	1	C7                                     	CAN_FD_raw_frame_invalid_frame | ID11_cyclic_msg_rate_50_ms | _14DA45F1
2021-02-09 13:11:17.063		CAN-FD	11	Tx	11111111  	8	02 10 03 00 00 00 00 00                	Instrumentation | Instrumentation after | Instrumentation request_14DA45F1
2021-02-09 13:11:17.067		CAN-FD	11	Rx	99999999  	8	06 50 03 00 64 01 F4 55                	Instrumentation | Response | Instrumentation response_14DA45F1

Test case 11 verdict: Passed

2021-02-09 13:11:17.113		CAN-FD	12	Tx	28C       	1	50                                     	CAN_FD_raw_frame_invalid_frame | ID12_cyclic_msg_rate_50_ms | _14DA45F1
2021-02-09 13:11:17.113		CAN-FD	12	Tx	11111111  	8	02 10 03 00 00 00 00 00                	Instrumentation | Instrumentation after | Instrumentation request_14DA45F1
2021-02-09 13:11:17.117		CAN-FD	12	Rx	99999999  	8	06 50 03 00 64 01 F4 55                	Instrumentation | Response | Instrumentation response_14DA45F1

Test case 12 verdict: Passed

2021-02-09 13:11:17.163		CAN-FD	13	Tx	28C       	1	8F                                     	CAN_FD_raw_frame_invalid_frame | ID13_cyclic_msg_rate_50_ms | _14DA45F1
2021-02-09 13:11:17.163		CAN-FD	13	Tx	11111111  	8	02 10 03 00 00 00 00 00                	Instrumentation | Instrumentation after | Instrumentation request_14DA45F1
2021-02-09 13:11:17.168		CAN-FD	13	Rx	99999999  	8	06 50 03 00 64 01 F4 55                	Instrumentation | Response | Instrumentation response_14DA45F1

Test case 13 verdict: Passed

2021-02-09 13:11:17.214		CAN-FD	14	Tx	28C       	1	B8                                     	CAN_FD_raw_frame_invalid_frame | ID14_cyclic_msg_rate_50_ms | _14DA45F1
2021-02-09 13:11:17.214		CAN-FD	14	Tx	11111111  	8	02 10 03 00 00 00 00 00                	Instrumentation | Instrumentation after | Instrumentation request_14DA45F1
2021-02-09 13:11:17.216		CAN-FD	14	Rx	99999999  	8	06 50 03 00 64 01 F4 55                	Instrumentation | Response | Instrumentation response_14DA45F1

Test case 14 verdict: Passed

2021-02-09 13:11:17.265		CAN-FD	15	Tx	28C       	1	55                                     	CAN_FD_raw_frame_invalid_frame | ID15_cyclic_msg_rate_50_ms | _14DA45F1
2021-02-09 13:11:17.266		CAN-FD	15	Tx	11111111  	8	02 10 03 00 00 00 00 00                	Instrumentation | Instrumentation after | Instrumentation request_14DA45F1
2021-02-09 13:11:17.268		CAN-FD	15	Rx	99999999  	8	06 50 03 00 64 01 F4 55                	Instrumentation | Response | Instrumentation response_14DA45F1

Test case 15 verdict: Passed

2021-02-09 13:11:17.316		CAN-FD	16	Tx	28C       	1	D6                                     	CAN_FD_raw_frame_invalid_frame | ID16_cyclic_msg_rate_50_ms | _14DA45F1
2021-02-09 13:11:17.316		CAN-FD	16	Tx	11111111  	8	02 10 03 00 00 00 00 00                	Instrumentation | Instrumentation after | Instrumentation request_14DA45F1
2021-02-09 13:11:17.317		CAN-FD	16	Rx	99999999  	8	06 50 03 00 64 01 F4 55                	Instrumentation | Response | Instrumentation response_14DA45F1

Test case 16 verdict: Passed

2021-02-09 13:11:17.318		CAN-FD	17	Tx	7F9       	8	AF 70 AE 86 70 17 B1 90                	CAN_FD_raw_frame_invalid_frame | ID17_dlc_=_data | _14DA45F1
2021-02-09 13:11:17.420		CAN-FD	17	Tx	11111111  	8	02 10 03 00 00 00 00 00                	Instrumentation | Instrumentation after | Instrumentation request_14DA45F1
2021-02-09 13:11:17.427		CAN-FD	17	Rx	99999999  	8	06 50 03 00 64 01 F4 55                	Instrumentation | Response | Instrumentation response_14DA45F1

Test case 17 verdict: Passed

2021-02-09 13:11:17.429		CAN-FD	18	Tx	7F9       	8	01 01 01 01 01 01 01 01                	CAN_FD_raw_frame_invalid_frame | ID18_01_based_pattern_data | _14DA45F1
2021-02-09 13:11:17.530		CAN-FD	18	Tx	11111111  	8	02 10 03 00 00 00 00 00                	Instrumentation | Instrumentation after | Instrumentation request_14DA45F1
2021-02-09 13:11:17.537		CAN-FD	18	Rx	99999999  	8	06 50 03 00 64 01 F4 55                	Instrumentation | Response | Instrumentation response_14DA45F1

Test case 18 verdict: Passed
Nice one, let's look at this in more detail later
2021-02-09 13:11:17.539		CAN-FD	19	Tx	7F9       	8	FE 0E FE 00 FE 0F 7E FF                	CAN_FD_raw_frame_invalid_frame | ID19_pseudo_random_pattern_data | _14DA45F1
2021-02-09 13:11:17.640		CAN-FD	19	Tx	11111111  	8	02 10 03 00 00 00 00 00                	Instrumentation | Instrumentation after | Instrumentation request_14DA45F1
2021-02-09 13:11:17.744		CAN-FD	19	Tx	11111111  	8	02 10 03 00 00 00 00 00                	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:17.845		CAN-FD	19	Tx	11111111  	8	02 10 03 00 00 00 00 00                	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:17.946		CAN-FD	19	Tx	11111111  	8	02 10 03 00 00 00 00 00                	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:18.046		CAN-FD	19	Tx	11111111  	8	02 10 03 00 00 00 00 00                	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:18.147		CAN-FD	19	Tx	11111111  	8	02 10 03 00 00 00 00 00                	Instrumentation | Attempt | Instrumentation request_14DA45F1
2021-02-09 13:11:18.248		CAN-FD	19	Tx	11111111  	8	02 10 03 00 00 00 00 00                	Instrumentation | Attempt | Instrumentation request_14DA45F1
